unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1695340800000,2023-09-22 0:00:00,NEO/USD,7.3846,7.6333,7.3846,7.6294,99185.98069,13000.49554
1695254400000,2023-09-21 0:00:00,NEO/USD,7.5307,7.6886,7.2702,7.3671,53660.63598,7283.820768
1695168000000,2023-09-20 0:00:00,NEO/USD,7.7115,7.7494,7.4142,7.5346,23872.92468,3168.439556
1695081600000,2023-09-19 0:00:00,NEO/USD,7.3313,7.7155,7.3313,7.7025,81039.95184,10521.25308
1694995200000,2023-09-18 0:00:00,NEO/USD,7.1768,7.5111,7.1055,7.3488,70750.7424,9627.523188
1694908800000,2023-09-17 0:00:00,NEO/USD,7.28,7.28,7.0624,7.155,18040.90053,2521.439627
1694822400000,2023-09-16 0:00:00,NEO/USD,7.4419,7.4859,7.2449,7.2929,16984.15387,2328.861477
1694736000000,2023-09-15 0:00:00,NEO/USD,7.3001,7.4399,7.236,7.3986,9799.053238,1324.446955
1694649600000,2023-09-14 0:00:00,NEO/USD,7.2775,7.4041,7.2304,7.311,17319.08223,2368.907431
1694563200000,2023-09-13 0:00:00,NEO/USD,7.0901,7.313,7.0547,7.277,77905.86985,10705.76747
1694476800000,2023-09-12 0:00:00,NEO/USD,6.9241,7.2399,6.9131,7.0521,18222.23838,2583.944977
1694390400000,2023-09-11 0:00:00,NEO/USD,7.1314,7.1559,6.844,6.9175,65702.9952,9498.083875
1694304000000,2023-09-10 0:00:00,NEO/USD,7.2885,7.2885,6.89,7.1217,26015.69121,3653.017005
1694217600000,2023-09-09 0:00:00,NEO/USD,7.3765,7.4427,7.242,7.2896,11492.85499,1576.609826
1694131200000,2023-09-08 0:00:00,NEO/USD,7.4449,7.4895,7.236,7.3907,6071.60479,821.519584
1694044800000,2023-09-07 0:00:00,NEO/USD,7.4345,7.4692,7.2979,7.4654,4184.028537,560.4560422
1693958400000,2023-09-06 0:00:00,NEO/USD,7.5121,7.6873,7.2087,7.4296,29466.94077,3966.154405
1693872000000,2023-09-05 0:00:00,NEO/USD,7.0996,8.0715,7.0914,7.5351,224718.137,29822.84734
1693785600000,2023-09-04 0:00:00,NEO/USD,7.0082,7.1845,6.9413,7.0793,17442.94178,2463.935952
1693699200000,2023-09-03 0:00:00,NEO/USD,6.969,7.0986,6.9329,7.0286,7058.843405,1004.302906
1693612800000,2023-09-02 0:00:00,NEO/USD,6.9316,6.9885,6.8325,6.9829,42964.09695,6152.758445
1693526400000,2023-09-01 0:00:00,NEO/USD,7.0911,7.1043,6.8678,6.9514,16223.57549,2333.85728
1693440000000,2023-08-31 0:00:00,NEO/USD,7.3729,7.4309,6.9767,7.0795,184044.4214,25996.81071
1693353600000,2023-08-30 0:00:00,NEO/USD,7.4913,7.5043,7.3121,7.4089,159286.0733,21499.28779
1693267200000,2023-08-29 0:00:00,NEO/USD,7.2109,7.5394,7.041,7.4808,141135.0936,18866.31023
1693180800000,2023-08-28 0:00:00,NEO/USD,7.2281,7.2512,6.9976,7.2304,81205.67302,11231.14531
1693094400000,2023-08-27 0:00:00,NEO/USD,7.1972,7.3687,7.1257,7.2471,13854.07664,1911.671791
1693008000000,2023-08-26 0:00:00,NEO/USD,7.1777,7.235,7.1436,7.2048,70476.93129,9781.941385
1692921600000,2023-08-25 0:00:00,NEO/USD,7.1294,7.1941,6.9582,7.1941,14693.41451,2042.42567
1692835200000,2023-08-24 0:00:00,NEO/USD,7.2849,7.3953,7.0912,7.1459,7386.496482,1033.669164
1692748800000,2023-08-23 0:00:00,NEO/USD,7.068,7.3248,7.0552,7.2472,50282.3047,6938.169872
1692662400000,2023-08-22 0:00:00,NEO/USD,7.1218,7.1218,6.7579,7.037,37458.60088,5323.092352
1692576000000,2023-08-21 0:00:00,NEO/USD,7.2191,7.2191,6.9265,7.1019,68471.32572,9641.268635
1692489600000,2023-08-20 0:00:00,NEO/USD,7.1774,7.2634,7.1313,7.2042,8165.11728,1133.382927
1692403200000,2023-08-19 0:00:00,NEO/USD,7.0041,7.1953,6.9796,7.171,41937.22056,5848.169092
1692316800000,2023-08-18 0:00:00,NEO/USD,6.9052,7.0542,6.8537,6.9966,74472.33085,10644.07439
1692230400000,2023-08-17 0:00:00,NEO/USD,7.68,7.8077,6.54,6.9243,95292.30099,13762.01219
1692144000000,2023-08-16 0:00:00,NEO/USD,8.0578,8.0772,7.563,7.712,714667.4613,92669.53596
1692057600000,2023-08-15 0:00:00,NEO/USD,8.5603,8.5603,7.84,8.0805,89899.10916,11125.43892
1691971200000,2023-08-14 0:00:00,NEO/USD,8.4588,8.6114,8.3937,8.5369,37010.86719,4335.398938
1691884800000,2023-08-13 0:00:00,NEO/USD,8.4939,8.5484,8.4191,8.4706,899.5560947,106.197447
1691798400000,2023-08-12 0:00:00,NEO/USD,8.4979,8.5706,8.4979,8.503,3866.566607,454.7296963
1691712000000,2023-08-11 0:00:00,NEO/USD,8.4834,8.5463,8.4373,8.4846,377.6922694,44.5150354
1691625600000,2023-08-10 0:00:00,NEO/USD,8.4919,8.53,8.4146,8.4764,6520.378896,769.2391694
1691539200000,2023-08-09 0:00:00,NEO/USD,8.5706,8.5706,8.4167,8.4798,7292.805948,860.0209849
1691452800000,2023-08-08 0:00:00,NEO/USD,8.4169,8.6482,8.3489,8.5512,13472.41201,1575.499581
1691366400000,2023-08-07 0:00:00,NEO/USD,8.4906,8.5735,8.279,8.4139,23017.32194,2735.630556
1691280000000,2023-08-06 0:00:00,NEO/USD,8.4305,8.5328,8.3964,8.4717,48544.58456,5730.20581
1691193600000,2023-08-05 0:00:00,NEO/USD,8.407,8.4447,8.268,8.4399,28479.77975,3374.421468
1691107200000,2023-08-04 0:00:00,NEO/USD,8.4703,8.5485,8.3335,8.42,35351.81377,4198.552704
1691020800000,2023-08-03 0:00:00,NEO/USD,8.6062,8.6531,8.4371,8.5025,47856.42732,5628.512475
1690934400000,2023-08-02 0:00:00,NEO/USD,8.9643,9.0328,8.4992,8.6146,38259.96028,4441.292721
1690848000000,2023-08-01 0:00:00,NEO/USD,8.6911,8.9443,8.3374,8.8929,89114.56172,10020.86628
1690761600000,2023-07-31 0:00:00,NEO/USD,8.836,8.8791,8.6326,8.7224,8161.200952,935.6600192
1690675200000,2023-07-30 0:00:00,NEO/USD,8.8228,9.063,8.5548,8.855,87189.5203,9846.360283
1690588800000,2023-07-29 0:00:00,NEO/USD,8.7731,8.8886,8.7022,8.868,36611.80225,4128.529799
1690502400000,2023-07-28 0:00:00,NEO/USD,8.7786,8.82,8.6661,8.7904,4823.238379,548.6938454
1690416000000,2023-07-27 0:00:00,NEO/USD,8.7264,8.8539,8.6271,8.7635,16570.78778,1890.886949
1690329600000,2023-07-26 0:00:00,NEO/USD,8.6867,8.8341,8.419,8.7581,57745.44627,6593.375991
1690243200000,2023-07-25 0:00:00,NEO/USD,8.6886,8.7002,8.5685,8.6576,42902.68577,4955.494106
1690156800000,2023-07-24 0:00:00,NEO/USD,9.0764,9.109,8.44,8.7004,232502.4226,26723.18774
1690070400000,2023-07-23 0:00:00,NEO/USD,9.0762,9.1986,9.0521,9.1061,22204.86292,2438.460254
1689984000000,2023-07-22 0:00:00,NEO/USD,9.1934,9.6925,9.0961,9.1492,46163.0873,5045.587297
1689897600000,2023-07-21 0:00:00,NEO/USD,9.1122,9.2417,9.0474,9.2225,19095.44557,2070.528119
1689811200000,2023-07-20 0:00:00,NEO/USD,8.9497,9.3632,8.9262,9.1147,50227.54691,5510.608897
1689724800000,2023-07-19 0:00:00,NEO/USD,8.9397,9.1394,8.902,8.9465,3499.393871,391.146691
1689638400000,2023-07-18 0:00:00,NEO/USD,9.1207,9.2106,8.8345,8.9527,8495.427657,948.9235267
1689552000000,2023-07-17 0:00:00,NEO/USD,9.0756,9.2857,8.8944,9.1166,29836.51414,3272.767714
1689465600000,2023-07-16 0:00:00,NEO/USD,9.3644,9.3677,9.0694,9.0988,18137.56783,1993.402189
1689379200000,2023-07-15 0:00:00,NEO/USD,9.2153,9.4915,9.1629,9.3451,4517.732181,483.4332625
1689292800000,2023-07-14 0:00:00,NEO/USD,9.6666,9.81,9.0217,9.2819,50473.74421,5437.8677
1689206400000,2023-07-13 0:00:00,NEO/USD,9.1076,9.6469,8.946,9.6469,45290.29758,4694.803261
1689120000000,2023-07-12 0:00:00,NEO/USD,9.1493,9.2104,8.9243,9.1241,28964.82249,3174.540228
1689033600000,2023-07-11 0:00:00,NEO/USD,8.9627,9.1733,8.8636,9.1611,41039.29387,4479.734298
1688947200000,2023-07-10 0:00:00,NEO/USD,8.8816,9.0932,8.6705,8.9314,72176.43656,8081.20077
1688860800000,2023-07-09 0:00:00,NEO/USD,8.973,9.1175,8.8973,8.9365,77943.27722,8721.901999
1688774400000,2023-07-08 0:00:00,NEO/USD,9.0542,9.1433,8.776,8.9575,52908.56161,5906.621447
1688688000000,2023-07-07 0:00:00,NEO/USD,8.9,9.1742,8.8879,9.0761,35944.9453,3960.395467
1688601600000,2023-07-06 0:00:00,NEO/USD,9.089,9.5695,8.9423,9.011,215864.9756,23955.71807
1688515200000,2023-07-05 0:00:00,NEO/USD,9.3111,9.3577,8.8509,9.1047,32115.03434,3527.302859
1688428800000,2023-07-04 0:00:00,NEO/USD,9.4262,9.8277,9.0539,9.3,68481.34222,7363.585185
