unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1622419200000,2021-05-31 0:00:00,BTC/USD,35609,37533,34160,37280,222772753.6,5975.66399
1622332800000,2021-05-30 0:00:00,BTC/USD,34587.39808,36419,33367,35614,214511362.7,6023.231388
1622246400000,2021-05-29 0:00:00,BTC/USD,35660.87053,37381,33617,34574,268442774.9,7764.296144
1622160000000,2021-05-28 0:00:00,BTC/USD,38537.03618,38889,34721,35661,364435569.9,10219.44337
1622073600000,2021-05-27 0:00:00,BTC/USD,39303,40500,37221,38537,214013388.8,5553.452235
1621987200000,2021-05-26 0:00:00,BTC/USD,38374,40884,37851.57741,39301,338383535.3,8610.048989
1621900800000,2021-05-25 0:00:00,BTC/USD,38851,39829.42639,36455,38396.84797,298232109.2,7767.098734
1621814400000,2021-05-24 0:00:00,BTC/USD,34747,39966,34500,38845,587729115.2,15130.1098
1621728000000,2021-05-23 0:00:00,BTC/USD,37575,38384,31230,34747,903202496.9,25993.68282
1621641600000,2021-05-22 0:00:00,BTC/USD,37382.85884,38956,35372,37557,509305365.5,13560.8639
1621555200000,2021-05-21 0:00:00,BTC/USD,40590,42298.12038,33552,37391.38484,871746738.6,23314.10677
1621468800000,2021-05-20 0:00:00,BTC/USD,36733.72216,42300,34985,40561.45428,1038769545,25609.77075
1621382400000,2021-05-19 0:00:00,BTC/USD,42898.48904,43600,29563,36733,2491338722,67822.9037
1621296000000,2021-05-18 0:00:00,BTC/USD,43540,45800,42316,42900,459984729.1,10722.25476
1621209600000,2021-05-17 0:00:00,BTC/USD,46587.61321,46796,42128,43534,1642284138,37724.17277
1621123200000,2021-05-16 0:00:00,BTC/USD,46844,49870,44021,46597,888545755.2,19068.73308
1621036800000,2021-05-15 0:00:00,BTC/USD,49923.30795,50737,46644,46844,444485398.4,9488.630313
1620950400000,2021-05-14 0:00:00,BTC/USD,49749,51512,48877,49924,301933643.4,6047.865623
1620864000000,2021-05-13 0:00:00,BTC/USD,49580.54694,51333,46601.04808,49750.64972,1052949509,21164.53786
1620777600000,2021-05-12 0:00:00,BTC/USD,56717,58000,48611,49614,742922181.8,14974.04325
1620691200000,2021-05-11 0:00:00,BTC/USD,55831,56870,54138.73738,56721.5046,436123689.4,7688.859673
1620604800000,2021-05-10 0:00:00,BTC/USD,58286.86933,59589.77114,53844,55829.6251,753116633.3,13489.55204
1620518400000,2021-05-09 0:00:00,BTC/USD,58892,59236.51695,56255,58276,494158905.5,8479.629788
